Keyword,Intent,Volume,KD,Cluster,Mapped URL,Page Type,Funnel,Business Fit,SEO Effort,Priority,Priority Score
google my business profile,Navigational,6600,100,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,115.5
google my business review link,"Informational, Commercial",110,56,Reviews / Ratings / Reply,/guides/google-my-business-review-link/,Guide,BOFU,5,Medium,P2,112.61
google my business video verification,Informational,110,51,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,Medium,P2,96.25
google my business map,Navigational,590,94,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,72.28
gmb google my business,Informational,390,95,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,40.95
google my business registration,"Navigational, Commercial",140,89,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,38.22
google my business gmb,Navigational,110,89,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,23.1
www google my business,"Navigational, Transactional",110,93,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,20.02
google my business verification code,,170,,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,High,P2,2.98
google verify my business code,,170,,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,High,P2,2.98
google my business bulk verification,,140,,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,High,P2,2.45
google my business search,,110,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,1.93
google my business certification,,90,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,1.57
google my business get on google,,90,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,1.57
google my business link,,90,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,1.57
google my business optimization service,,90,,Optimization / SEO / Ranking,/google-my-business-optimization-service/,Service Landing,BOFU,5,High,P2,1.57
google my business com,,70,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,1.23
google my business for agencies,,70,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P2,1.23
google my business images,Informational,210,37,Photos / Logo / Cover / Videos,/guides/google-business-profile-photo-size/,Guide,TOFU,3,Medium,P3,194.88
how to add my business to google maps,Informational,210,44,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,191.52
how to delete google my business account,Informational,210,31,Suspension / Reinstatement / Delete,/guides/google-business-profile-login/,Guide,TOFU,1,Low,P3,169.05
google my business cover photo,Informational,140,18,Photos / Logo / Cover / Videos,/guides/google-business-profile-photo-size/,Guide,TOFU,3,Low,P3,168.49
google my business sign up,"Navigational, Transactional",1000,93,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,166.4
how do i add my business location to google maps,Informational,170,41,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,163.2
how do i list my business on google maps,Informational,210,53,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,161.28
google my business post image size,Informational,140,30,Google Posts / Offers / Updates,/guides/google-business-profile-posts-examples/,Guide,TOFU,4,Low,P3,159.04
how to add my business address on google maps,Informational,170,46,Categories / Services / Description,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,149.6
how to add my business address to google maps,Informational,170,46,Categories / Services / Description,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,149.6
how can i add my business to google maps,Informational,140,36,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,145.6
google my business post size,Informational,110,22,Google Posts / Offers / Updates,/guides/google-business-profile-posts-examples/,Guide,TOFU,4,Low,P3,139.04
how to register my business on google,"Informational, Transactional",170,63,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,134.37
create google my business account,"Informational, Navigational",210,47,Setup / Add / Create / Register,/guides/google-business-profile-login/,Guide,TOFU,1,Medium,P3,130.41
create a google my business profile,"Informational, Navigational",260,70,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,128.96
google my business logo size,Informational,110,23,Photos / Logo / Cover / Videos,/guides/google-my-business-logo-size/,Guide,TOFU,3,Low,P3,124.41
google my business create,"Navigational, Commercial",390,86,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,BOFU,4,High,P3,121.68
how to advertise my business on google for free,Informational,110,26,Free / Cost / Pricing,/guides/is-google-my-business-free/,Guide,TOFU,3,Low,P3,119.62
google my business profile photo size,Informational,110,27,Photos / Logo / Cover / Videos,/guides/google-business-profile-photo-size/,Guide,TOFU,3,Low,P3,118.03
google my business photo size,Informational,110,28,Photos / Logo / Cover / Videos,/guides/google-business-profile-photo-size/,Guide,TOFU,3,Low,P3,116.43
register my business on google,"Navigational, Transactional",260,81,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,108.16
how to put my business on google,Informational,110,40,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,107.36
how to advertise my business on google,Informational,140,40,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,Medium,P3,98.21
how do i add my business to google maps,Informational,140,58,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,96.32
how do i list my business on google,Informational,110,49,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,91.52
how do i remove my business from google maps,Informational,110,30,Suspension / Reinstatement / Delete,/guides/google-business-profile-faq/,FAQ,TOFU,1,Low,P3,89.81
my business google sign in,"Navigational, Transactional",210,76,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,78.49
google com verify my business login,"Navigational, Transactional",110,55,Verification / Code / Postcard,/guides/google-business-profile-login/,Guide,TOFU,1,Medium,P3,75.65
manage my business google,"Navigational, Transactional",210,77,Management Service / Agency,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,75.35
how to create google my business account,Informational,720,92,Setup / Add / Create / Register,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,74.52
google my business support contact number india,Navigational,170,63,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P3,74.29
google my business customer service phone number,"Navigational, Transactional",110,66,Categories / Services / Description,/guides/edit-google-business-profile/,Guide,TOFU,3,High,P3,72.57
how can i list my business on google,Informational,110,60,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,Medium,P3,72.16
google my business profile login,"Navigational, Transactional",170,75,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,66.08
google my business sign in,"Navigational, Transactional",170,76,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,63.54
google my business login page,"Navigational, Transactional",140,71,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,62.79
google my business support email,Navigational,110,52,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,Medium,P3,61.98
google my business email support,"Navigational, Transactional",110,65,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P3,59.2
call google my business support,"Navigational, Transactional",110,67,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P3,55.91
how can i put my business on google,Informational,110,71,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,52.8
how do i put my business on google,Informational,110,71,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,52.8
create google my business listing,Navigational,110,74,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,47.52
google com my business,"Navigational, Transactional",110,74,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,44.4
how to place my business on google maps,Informational,210,83,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,43.47
contact google my business support,"Navigational, Transactional",110,76,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P3,41.11
set up google my business,Informational,170,87,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,38.08
https www google com my business,Navigational,480,95,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,33.12
create a google my business listing,"Informational, Navigational",110,83,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,31.68
google my business account create,"Informational, Navigational",110,78,Setup / Add / Create / Register,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,29.09
google my business customer care,"Navigational, Transactional",140,88,Support / Customer Care / Contact,/guides/google-business-profile-support/,Official Support Guide,TOFU,1,High,P3,27.21
google my business website,Navigational,140,89,Categories / Services / Description,/guides/edit-google-business-profile/,Guide,TOFU,3,High,P3,24.36
www google com my business,"Navigational, Transactional",110,95,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,9.87
google my business posts examples,,140,,Google Posts / Offers / Updates,/guides/google-business-profile-posts-examples/,Guide,TOFU,4,High,P3,2.24
google my business claim business,,110,,Setup / Add / Create / Register,/guides/google-business-profile-ownership-transfer/,Guide,TOFU,4,High,P3,1.76
google my business logo png,,110,,Photos / Logo / Cover / Videos,/guides/google-my-business-logo-size/,Guide,TOFU,3,High,P3,1.59
google my business description,,90,,Categories / Services / Description,/guides/google-business-profile-description-examples/,Guide,TOFU,4,High,P3,1.44
google my business posts size,,90,,Google Posts / Offers / Updates,/guides/google-business-profile-posts-examples/,Guide,TOFU,4,High,P3,1.44
google my business phone number,,90,,Categories / Services / Description,/guides/edit-google-business-profile/,Guide,TOFU,3,High,P3,1.3
how to change address in google my business,,90,,Categories / Services / Description,/guides/edit-google-business-profile/,Guide,TOFU,3,High,P3,1.3
google ad my business,,110,,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,1.26
how to delete my business from google maps,,110,,Suspension / Reinstatement / Delete,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,1.26
how to remove my business from google map,,110,,Suspension / Reinstatement / Delete,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,1.26
how to remove my business from google maps,,110,,Suspension / Reinstatement / Delete,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,1.26
google my business setup services,,70,,Categories / Services / Description,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,1.12
how to add keywords in google my business,,70,,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,1.12
how do i delete my google business account,,90,,Suspension / Reinstatement / Delete,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,1.03
google my business labels,,50,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.88
how to close google my business,,50,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.88
get my business on google,,70,,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,0.81
google my business access,,50,,Ownership / Access / Transfer,/guides/google-business-profile-ownership-transfer/,Guide,TOFU,4,High,P3,0.8
google my business chatbot,,40,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.7
google my business training,,40,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.7
google posts my business,,40,,Google Posts / Offers / Updates,/features/google-posts-scheduler/,Feature Landing,BOFU,5,High,P3,0.7
how does google my business work,,40,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.7
how to do seo for google my business,,40,,Optimization / SEO / Ranking,/guides/google-business-profile-optimization-checklist/,Pillar Guide,MOFU,5,High,P3,0.7
link google ads with google my business,,40,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.7
what is google my business listing,,40,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.7
wordpress google my business plugin,,40,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.7
access google my business,,40,,Ownership / Access / Transfer,/guides/google-business-profile-ownership-transfer/,Guide,TOFU,4,High,P3,0.64
how to add my business place in google map,,40,,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,0.64
how to create my business page on google,,40,,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,0.64
put my business on google,,40,,Setup / Add / Create / Register,/guides/add-business-to-google-maps/,Guide,TOFU,4,High,P3,0.64
google my business photos,,40,,Photos / Logo / Cover / Videos,/guides/google-business-profile-photo-size/,Guide,TOFU,3,High,P3,0.58
find my business on google,,50,,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,0.57
google my business account login,,50,,Login / Account / App,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,0.57
google search my business,,50,,Other / Long-tail,/guides/google-business-profile-faq/,FAQ,TOFU,1,High,P3,0.57
how to delete my google business account,,50,,Suspension / Reinstatement / Delete,/guides/google-business-profile-login/,Guide,TOFU,1,High,P3,0.57
appointment link google my business,,30,,Google Posts / Offers / Updates,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
authorized google my business representative,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
benefits of google my business,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
boost google my business,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
check google my business,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
fake reviews on google my business,,30,,Reviews / Ratings / Reply,/features/google-review-management/,Feature Landing,BOFU,5,High,P3,0.53
google ads google my business,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google business verify my business,,30,,Verification / Code / Postcard,/guides/google-business-profile-verification/,Guide,MOFU,5,High,P3,0.53
google my business 360,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business advantages,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business alternatives,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business apk,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business blog,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business chat,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business checker,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business company,,30,,Core / Navigational Head Terms,/google-my-business-management-service/,Service Landing,BOFU,5,High,P3,0.53
google my business console,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business course certification,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business cover page size,,30,,Photos / Logo / Cover / Videos,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business customer id,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business email,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business extension,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business font,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business for hotels,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business for online business,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business for restaurants,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business for seo,,30,,Optimization / SEO / Ranking,/guides/google-business-profile-optimization-checklist/,Pillar Guide,MOFU,5,High,P3,0.53
google my business forum,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business google ads,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business icon vector,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business interface,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business invitation,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business job,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business linkedin,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business live chat,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
google my business mail,,30,,Core / Navigational Head Terms,/google-business-profile-management-tool/,Product Landing,BOFU,5,High,P3,0.53
