Phase,URL,Page Title,Page Type,Primary Keyword,Top Keyword Variants,Mapped KW Count,Mapped Volume,Avg KD,Business Fit,Search Intent,Main CTA,Content Modules,Internal Links,Schema,Moat / Differentiator
P1 / Month 1,/guides/add-business-to-google-maps/,How to Add Your Business to Google Maps,Guide,add my business to google,"add my business to google, google my business sign up, add my business to google maps, how to add my business to google, how to list my business on google",556,14450,60.3,4,TOFU / BOFU,Create profile checklist + Pinzo onboarding,Step-by-step; eligibility; categories; address/service area; verification; photos; services; posts; reviews.,"Verification, Categories, Services, Description Examples, Optimization Service","HowTo, FAQPage",Printable setup checklist.
P2 / Month 2,/guides/google-business-profile-ownership-transfer/,Google Business Profile Ownership Transfer Guide,Guide,claim my business on google,"claim my business on google, google my business claim business, google my business access, access google my business, google my business api access",103,1310,48,4,TOFU,Check access risk,Owner/manager roles; request ownership; transfer; lost access; agency handover; security checklist.,"Verification, Support, Agency Page","HowTo, FAQPage",Access audit checklist.
P1 / Month 1,/guides/google-my-business-services/,Google My Business Services Section Guide,Guide,google my business services,"google my business services, google my business listing services, google my business menu, google my business services section, service area google my business",39,1300,35,4,TOFU / BOFU,Generate missing services using AI,What services are; how to add; category relevance; examples by industry; avoid spam; service extraction from website.,"Categories List, Description Examples, Doctors Clinics, Optimization Checklist","HowTo, FAQPage",Free services extractor preview.
P2 / Month 2,/guides/google-business-profile-posts-examples/,Google Business Profile Posts Examples,Guide,google my business post image size,"google my business post image size, google my business posts examples, google my business post size, google my business posts size, examples of google my business posts",43,750,26,4,TOFU,Generate 30 post ideas,Post types; examples by doctors/restaurants/jewellers; image specs; frequency; CTA ideas.,"Posts Scheduler, Photo Size, Industry Pages","Article, FAQPage",30-day GBP post calendar.
P2 / Month 2,/features/google-business-profile-reporting/,Google Business Profile Reporting & Insights,Feature Landing,google my business api has not been used in project,"google my business api has not been used in project, google my business insights api, how to get google my business api key, export google my business data, google analytics google my business",169,410,,4,BOFU,See sample white-label report,Performance metrics; location ranking; review metrics; posts; calls/directions; exports; white-label report.,"Agencies, Multi-location, API Guide, Rank Tracker","SoftwareApplication, FAQPage",Sample report download.
P1 / Month 1,/guides/google-business-profile-description-examples/,Google Business Profile Description Examples,Guide,google my business description,"google my business description, all about google my business, google my business about, about google my business, google my business description guidelines",29,230,,4,TOFU,Generate your GBP description,Rules; formula; examples by industry; bad vs good; SEO-safe wording; generator CTA.,"Services, Categories, Industry Pages, Managed Service","Article, FAQPage",Interactive description generator.
P2 / Month 2,/guides/google-business-profile-categories-list/,Google Business Profile Categories List & Selection Guide,Guide,google my business categories list,"google my business categories list, business categories in google my business, google my business all categories, google my business categories, google my business category not listed",69,160,,4,TOFU,Find right category,Primary vs secondary; category examples; mistakes; category change risk; industry examples.,"Optimization Checklist, Services, Industry Pages","Article, FAQPage",Category selection decision tree.
P2 / Month 2,/guides/is-google-my-business-free/,Is Google My Business Free?,Guide,is google my business free,"is google my business free, how to advertise my business on google for free, does google my business cost money, google my business free listing, google my business cost",55,4800,48.5,3,TOFU,Estimate management cost vs ROI,Free GBP; what costs money; time cost; managed service pricing; tool pricing; ROI.,"Pricing, Managed Service, Optimization Service","Article, FAQPage",GBP ROI calculator.
P2 / Month 2,/guides/edit-google-business-profile/,How to Edit Google Business Profile,Guide,google my business free website,"google my business free website, edit my google business, google my business website, google my business customer service phone number, google my business phone number",363,3490,71.2,3,TOFU,Audit business info accuracy,Name; address; phone; website; hours; categories; services; photos; changes under review.,"Optimization Checklist, Hours, Services, Categories","HowTo, FAQPage",NAP consistency checklist.
P1 / Month 1,/guides/google-business-profile-photo-size/,Google Business Profile Photo & Cover Size Guide,Guide,google my business cover photo size,"google my business cover photo size, google my business images, google my business cover photo, google my business photo size, google my business profile photo size",229,2170,24,3,TOFU,Audit profile visual score,Cover; logo; posts image size; quality rules; examples; mistakes; industry photo checklist.,"Logo Size, Posts Examples, Optimization Checklist","Article, FAQPage",Visual checklist + downloadable image size sheet.
P1 / Month 1,/guides/google-business-profile-questions-and-answers/,Google Business Profile Q&A Guide,Guide,google my business questions and answers,"google my business questions and answers, google my business answers, google my business certification answers, google my business assessment answers, google my business basics assessment answers",23,1050,26,3,TOFU,Generate Q&A set for your business,What Q&A is; how to seed questions; examples by industry; moderation; conversion questions.,"Optimization Checklist, Review Management, Industry Pages",FAQPage,Industry Q&A templates.
P1 / Month 1,/guides/google-my-business-logo-size/,Google My Business Logo Size Guide,Guide,google my business logo,"google my business logo, google my business logo png, google my business logo size, google my business logo dimensions, google my business logo image size",41,1010,27,3,TOFU,Check profile completeness,Logo dimensions; file type; upload steps; why logo may not show; examples; troubleshooting.,"Photo Size, Edit Profile, Optimization Checklist","Article, FAQPage",Logo upload troubleshooting flowchart.
P3 / Month 4,/guides/google-business-profile-login/,Google Business Profile Login Guide,Guide,google my business login,"google my business login, google my business account, google my business app, google my business app download, how to create google my business account",351,35980,59.8,1,TOFU / BOFU,Manage all locations in Pinzo,How to access GBP; Maps/Search access; app confusion; multiple accounts; agency access.,"Ownership Transfer, Management Tool, Agencies","Article, FAQPage",Account access troubleshooting.
P3 / Month 4,/guides/google-business-profile-support/,Google Business Profile Support: Official Help Options,Official Support Guide,google my business customer care number,"google my business customer care number, google my business support, google my business support phone number 24/7, google my business helpline number, contact number for google my business",201,6610,68.6,1,TOFU,Get Pinzo-managed profile audit,Official support routes; no fake phone-number claim; common help topics; troubleshooting links; safety warning.,"Verification, Suspension, Ownership, Managed Service","Article, FAQPage",Trust-first guide that avoids impersonation.
P1 / Month 1,/agencies/google-business-profile-management-software/,Google Business Profile Management Software for Agencies,Agency Landing,google business profile management software for agencies,"agency GBP software, white label GBP reports, client location dashboard",,,,5,BOFU,Book agency demo,Client workspace; white-label reporting; RBAC; review replies; posts; approvals; pricing,"Reporting, Review Management, Posts Scheduler, Management Tool","SoftwareApplication, FAQPage",Sample white-label report + agency calculator
P1 / Month 1,/industries/doctors-clinics-google-business-profile/,Google Business Profile Management for Doctors & Clinics,Industry Landing,google business profile management for doctors,"clinic GMB optimization, doctor Google reviews, healthcare local SEO",,,,5,BOFU,Book healthcare GBP audit,Patient discovery; reviews; services; appointment links; doctor profiles; monthly managed plan,"Managed Service, Review Management, Verification, Services Guide","Service, FAQPage",Healthcare-specific audit + Maa Nursing Home-style case study once ready
P2 / Month 2,/features/geo-grid-rank-tracker/,Geo-Grid Rank Tracker for Google Business Profile,Feature Landing,google my business rank checker,"local rank tracker, GBP rank tracker, map rank tracker",,,,5,BOFU,Run sample geo-grid scan,Geo-grid visualization; keyword tracking; competitor map; reporting; alerts,"Optimization Checklist, Reporting, Agencies","SoftwareApplication, FAQPage",Free sample geo-grid result
P2 / Month 2,/features/gmb-profile-audit-tool/,Google Business Profile Audit Tool,Feature Landing,google business profile audit tool,"GMB audit checklist, GBP score, profile health score",,,,5,BOFU,Run free audit,Scorecard; profile completeness; missing services; photos; review gaps; posting gaps; competitor gaps,"Optimization Checklist, Services, Photo Size, Review Management","SoftwareApplication, FAQPage",Free audit tool as SEO lead magnet
P2 / Month 3,/industries/jewellery-stores-google-business-profile/,Google Business Profile Management for Jewellery Stores,Industry Landing,jewellery store google business profile,"jewelry local SEO, jewellery store reviews, jewellery store Google Maps",,,,4,BOFU,Run jewellery store GBP audit,Local discovery; photos; product posts; reviews; seasonal offers; store visits,"Posts Scheduler, Review Management, Photo Guide","Service, FAQPage",Jewellery-specific local visibility checklist
P2 / Month 3,/industries/restaurants-google-business-profile/,Google Business Profile Management for Restaurants,Industry Landing,restaurant google business profile,"restaurant Google reviews, menu posts, local restaurant SEO",,,,4,BOFU,Run restaurant GBP audit,Menus; photos; offers; reviews; hours; Q&A; delivery links,"Services, Posts, Reviews, Hours","Service, FAQPage",Restaurant post and review template pack
P2 / Month 3,/industries/salons-google-business-profile/,Google Business Profile Management for Salons,Industry Landing,salon google business profile,"salon Google reviews, local salon SEO, salon Google posts",,,,4,BOFU,Run salon GBP audit,Services; appointments; before-after photos; reviews; offers; service area,"Services, Photo Guide, Posts, Reviews","Service, FAQPage",Salon service/category templates
P2 / Month 3,/industries/coaching-classes-google-business-profile/,Google Business Profile Management for Coaching Classes,Industry Landing,coaching class google business profile,"coaching classes local SEO, Google reviews for classes",,,,4,BOFU,Run coaching GBP audit,Courses; batches; reviews; Q&A; posts; branch pages,"Posts, Reviews, Q&A","Service, FAQPage",Admissions-focused post templates
P3 / Month 4,/industries/multi-location-brands-google-business-profile/,Google Business Profile Management for Multi-Location Brands,Industry Landing,multi location google business profile management,"multi location GBP dashboard, franchise Google profiles",,,,5,BOFU,Book brand demo,Governance; roles; location sync; reports; approval flows; performance dashboard,"Management Tool, Reporting, Agencies","SoftwareApplication, Service, FAQPage",Location governance framework
P3 / Month 4,/comparisons/pinzo-vs-manual-google-business-profile-management/,Pinzo vs Manual GBP Management,Comparison Page,google business profile management tool vs manual,"manual GBP management problems, GBP dashboard alternative",,,,4,BOFU,See Pinzo workflow,Manual process pain; cost of operations; workflow comparison; ROI,"Management Tool, Managed Service, Agencies",FAQPage,Operational cost calculator
