Week,Month,Content Type,Priority,Topic / Page,Target URL,Primary Keyword / Intent,Funnel,CTA,Production Notes
7,Month 2,Industry Page,P2,GBP Management for Salons,/industries/salons-google-business-profile/,salon Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
7,Month 2,Product-led SEO Asset,P2,Free GBP Audit Tool Landing Page,/tools/google-business-profile-audit/,google business profile audit tool,BOFU,Free audit signup,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
8,Month 2,Pillar / Landing,P2,Google Business Profile Suspended: Fix Guide,/guides/google-business-profile-suspended/,google my business suspended,MOFU,Suspension checklist / Consultation,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
8,Month 2,Supporting Guide,P2,Google My Business Verification Postcard,/guides/google-business-profile-verification/,google my business verification postcard,MOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
8,Month 2,Industry Page,P2,GBP Management for Coaching Classes,/industries/coaching-classes-google-business-profile/,coaching class Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
8,Month 2,Product-led SEO Asset,P2,AI Review Reply Generator,/tools/google-review-reply-generator/,google review reply generator,MOFU,Generate review reply,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
9,Month 3,Pillar / Landing,P2,Google My Business Review Link Guide,/guides/google-my-business-review-link/,google my business review link,MOFU / BOFU,Generate review request workflow,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
9,Month 3,Supporting Guide,P2,Google My Business Expert,/google-my-business-management-service/,google my business expert,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
9,Month 3,Industry Page,P2,GBP Management for Retail Chains,/industries/retail-chains-google-business-profile/,retail chain Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
9,Month 3,Product-led SEO Asset,P2,GBP Description Generator,/tools/google-business-profile-description-generator/,google business profile description generator,MOFU,Generate description,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
10,Month 3,Pillar / Landing,P1,Google My Business Optimization Service,/google-my-business-optimization-service/,google my business optimization service,BOFU,Get profile optimization audit,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
10,Month 3,Supporting Guide,P2,Google My Business Profile Picture Size,/google-business-profile-management-tool/,google my business profile picture size,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
10,Month 3,Industry Page,P2,GBP Management for Gyms & Fitness Studios,/industries/gyms-google-business-profile/,gym Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
10,Month 3,Product-led SEO Asset,P2,GBP Category Finder,/tools/google-business-profile-category-finder/,google business profile category finder,MOFU,Find category,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
11,Month 3,Pillar / Landing,P1,How to Add Your Business to Google Maps,/guides/add-business-to-google-maps/,add my business to google,TOFU / BOFU,Create profile checklist + Pinzo onboarding,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
11,Month 3,Supporting Guide,P2,Google My Business Suspended,/guides/google-business-profile-suspended/,google my business suspended,MOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
11,Month 3,Industry Page,P2,GBP Management for Real Estate Brokers,/industries/real-estate-google-business-profile/,real estate broker Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
11,Month 3,Product-led SEO Asset,P2,Google Posts Idea Generator,/tools/google-business-profile-post-ideas/,google business profile post ideas,MOFU,Generate post ideas,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
12,Month 3,Pillar / Landing,P2,Google Business Profile Ownership Transfer Guide,/guides/google-business-profile-ownership-transfer/,claim my business on google,TOFU,Check access risk,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
12,Month 3,Supporting Guide,P2,Bulk Verification Google My Business,/guides/google-business-profile-verification/,bulk verification google my business,MOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
12,Month 3,Industry Page,P2,GBP Management for Home Services,/industries/home-services-google-business-profile/,home service Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
12,Month 3,Product-led SEO Asset,P2,GBP ROI Calculator,/tools/google-business-profile-roi-calculator/,google business profile ROI calculator,BOFU,Calculate ROI,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
13,Month 4,Pillar / Landing,P1,Google My Business Services Section Guide,/guides/google-my-business-services/,google my business services,TOFU / BOFU,Generate missing services using AI,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
13,Month 4,Supporting Guide,P1,Google My Business Services,/guides/google-my-business-services/,google my business services,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
13,Month 4,Industry Page,P3,GBP Management for Hospitals & Nursing Homes,/industries/hospitals-nursing-homes-google-business-profile/,hospital Google Business Profile management,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
13,Month 4,Product-led SEO Asset,P3,Free GBP Audit Tool Landing Page,/tools/google-business-profile-audit/,google business profile audit tool,BOFU,Free audit signup,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
14,Month 4,Pillar / Landing,P2,Google Business Profile Posts Examples,/guides/google-business-profile-posts-examples/,google my business post image size,TOFU,Generate 30 post ideas,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
14,Month 4,Supporting Guide,P1,Add My Business To Google Free,/guides/add-business-to-google-maps/,add my business to google free,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
14,Month 4,Industry Page,P3,GBP Management for Doctors & Clinics,/industries/doctors-clinics-google-business-profile/,doctor Google Business Profile management,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
14,Month 4,Product-led SEO Asset,P3,AI Review Reply Generator,/tools/google-review-reply-generator/,google review reply generator,MOFU,Generate review reply,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
15,Month 4,Pillar / Landing,P2,Google Business Profile Reporting & Insights,/features/google-business-profile-reporting/,google my business api has not been used in project,BOFU,See sample white-label report,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
15,Month 4,Supporting Guide,P2,How Do I Put My Business On Google Maps,/guides/add-business-to-google-maps/,how do i put my business on google maps,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
15,Month 4,Industry Page,P3,GBP Management for Dentists,/industries/dentists-google-business-profile/,dentist Google Business Profile optimization,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
15,Month 4,Product-led SEO Asset,P3,GBP Description Generator,/tools/google-business-profile-description-generator/,google business profile description generator,MOFU,Generate description,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
16,Month 4,Pillar / Landing,P1,Google Business Profile Description Examples,/guides/google-business-profile-description-examples/,google my business description,TOFU,Generate your GBP description,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
16,Month 4,Supporting Guide,P3,How To Add My Business To Google Maps,/guides/add-business-to-google-maps/,how to add my business to google maps,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
16,Month 4,Industry Page,P3,GBP Management for Dermatology Clinics,/industries/dermatology-clinics-google-business-profile/,dermatology clinic Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
16,Month 4,Product-led SEO Asset,P3,GBP Category Finder,/tools/google-business-profile-category-finder/,google business profile category finder,MOFU,Find category,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
17,Month 5,Pillar / Landing,P2,Google Business Profile Categories List & Selection Guide,/guides/google-business-profile-categories-list/,google my business categories list,TOFU,Find right category,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
17,Month 5,Supporting Guide,P3,How To Add My Business Address On Google Maps,/guides/add-business-to-google-maps/,how to add my business address on google maps,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
17,Month 5,Industry Page,P3,GBP Management for IVF/Fertility Clinics,/industries/fertility-clinics-google-business-profile/,fertility clinic local SEO,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
17,Month 5,Product-led SEO Asset,P3,Google Posts Idea Generator,/tools/google-business-profile-post-ideas/,google business profile post ideas,MOFU,Generate post ideas,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
18,Month 5,Pillar / Landing,P2,Is Google My Business Free?,/guides/is-google-my-business-free/,is google my business free,TOFU,Estimate management cost vs ROI,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
18,Month 5,Supporting Guide,P2,Google My Business Listing Services,/guides/google-my-business-services/,google my business listing services,BOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
18,Month 5,Industry Page,P3,GBP Management for Jewellery Stores,/industries/jewellery-stores-google-business-profile/,jewellery store Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
18,Month 5,Product-led SEO Asset,P3,GBP ROI Calculator,/tools/google-business-profile-roi-calculator/,google business profile ROI calculator,BOFU,Calculate ROI,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
19,Month 5,Pillar / Landing,P2,How to Edit Google Business Profile,/guides/edit-google-business-profile/,google my business free website,TOFU,Audit business info accuracy,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
19,Month 5,Supporting Guide,P3,How Can I Add My Business To Google Maps,/guides/add-business-to-google-maps/,how can i add my business to google maps,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
19,Month 5,Industry Page,P3,GBP Management for Restaurants,/industries/restaurants-google-business-profile/,restaurant Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
19,Month 5,Product-led SEO Asset,P3,Free GBP Audit Tool Landing Page,/tools/google-business-profile-audit/,google business profile audit tool,BOFU,Free audit signup,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
20,Month 5,Pillar / Landing,P1,Google Business Profile Photo & Cover Size Guide,/guides/google-business-profile-photo-size/,google my business cover photo size,TOFU,Audit profile visual score,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
20,Month 5,Supporting Guide,P3,How Do I List My Business On Google,/guides/add-business-to-google-maps/,how do i list my business on google,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
20,Month 5,Industry Page,P3,GBP Management for Salons,/industries/salons-google-business-profile/,salon Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
20,Month 5,Product-led SEO Asset,P3,AI Review Reply Generator,/tools/google-review-reply-generator/,google review reply generator,MOFU,Generate review reply,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
21,Month 6,Pillar / Landing,P1,Google Business Profile Q&A Guide,/guides/google-business-profile-questions-and-answers/,google my business questions and answers,TOFU,Generate Q&A set for your business,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
21,Month 6,Supporting Guide,P2,Google My Business Questions And Answers,/guides/google-business-profile-questions-and-answers/,google my business questions and answers,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
21,Month 6,Industry Page,P3,GBP Management for Coaching Classes,/industries/coaching-classes-google-business-profile/,coaching class Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
21,Month 6,Product-led SEO Asset,P3,GBP Description Generator,/tools/google-business-profile-description-generator/,google business profile description generator,MOFU,Generate description,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
22,Month 6,Pillar / Landing,P1,Google My Business Logo Size Guide,/guides/google-my-business-logo-size/,google my business logo,TOFU,Check profile completeness,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
22,Month 6,Supporting Guide,P2,Google My Business Cover Photo Size,/guides/google-business-profile-photo-size/,google my business cover photo size,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
22,Month 6,Industry Page,P3,GBP Management for Retail Chains,/industries/retail-chains-google-business-profile/,retail chain Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
22,Month 6,Product-led SEO Asset,P3,GBP Category Finder,/tools/google-business-profile-category-finder/,google business profile category finder,MOFU,Find category,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
23,Month 6,Pillar / Landing,P1,Google Business Profile Management Software for Agencies,/agencies/google-business-profile-management-software/,google business profile management software for agencies,BOFU,Book agency demo,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
23,Month 6,Supporting Guide,P3,Google My Business Cover Photo,/guides/google-business-profile-photo-size/,google my business cover photo,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
23,Month 6,Industry Page,P3,GBP Management for Gyms & Fitness Studios,/industries/gyms-google-business-profile/,gym Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
23,Month 6,Product-led SEO Asset,P3,Google Posts Idea Generator,/tools/google-business-profile-post-ideas/,google business profile post ideas,MOFU,Generate post ideas,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
24,Month 6,Pillar / Landing,P1,Google Business Profile Management for Doctors & Clinics,/industries/doctors-clinics-google-business-profile/,google business profile management for doctors,BOFU,Book healthcare GBP audit,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
24,Month 6,Supporting Guide,P3,Google My Business Photo Size,/guides/google-business-profile-photo-size/,google my business photo size,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
24,Month 6,Industry Page,P3,GBP Management for Real Estate Brokers,/industries/real-estate-google-business-profile/,real estate broker Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
24,Month 6,Product-led SEO Asset,P3,GBP ROI Calculator,/tools/google-business-profile-roi-calculator/,google business profile ROI calculator,BOFU,Calculate ROI,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
25,Month 7,Pillar / Landing,P2,Geo-Grid Rank Tracker for Google Business Profile,/features/geo-grid-rank-tracker/,google my business rank checker,BOFU,Run sample geo-grid scan,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
25,Month 7,Supporting Guide,P3,How To Advertise My Business On Google For Free,/guides/is-google-my-business-free/,how to advertise my business on google for free,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
25,Month 7,Industry Page,P3,GBP Management for Home Services,/industries/home-services-google-business-profile/,home service Google Business Profile,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
25,Month 7,Product-led SEO Asset,P3,Free GBP Audit Tool Landing Page,/tools/google-business-profile-audit/,google business profile audit tool,BOFU,Free audit signup,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
26,Month 7,Pillar / Landing,P2,Google Business Profile Audit Tool,/features/gmb-profile-audit-tool/,google business profile audit tool,BOFU,Run free audit,"Build as evergreen page with examples, FAQs, screenshots, schema, and conversion CTA."
26,Month 7,Supporting Guide,P2,Google My Business App Download,/guides/google-business-profile-login/,google my business app download,TOFU,Run free GBP audit / related tool CTA,"Use keyword variants from mapping sheet; include step-by-step, screenshots, FAQs, and internal links."
26,Month 7,Industry Page,P3,GBP Management for Hospitals & Nursing Homes,/industries/hospitals-nursing-homes-google-business-profile/,hospital Google Business Profile management,BOFU,Book industry-specific audit,"Add industry pain points, category/service examples, review templates, GBP post ideas, and local proof."
26,Month 7,Product-led SEO Asset,P3,AI Review Reply Generator,/tools/google-review-reply-generator/,google review reply generator,MOFU,Generate review reply,"Thin tool pages will not work; include explainer copy, examples, use cases, and FAQ."
